Player ID,School Grade,Overall Rank,Offense Rank,Defense Rank,Slotted Round,First Time Player?,Club Player?
1,3,NA,NA,NA,,Y,
2,3,6,6,6,,,Y
3,3,4,4,4,,,Y
4,3,4,4,3,,,
5,3,3,3,3,,,
6,3,4,3,4,,,
7,3,4,1,6,,,
8,3,2,3,2,,,
9,3,,,,6,,
10,3,4,3,4,,,
11,3,NA,NA,NA,,Y,
12,3,2,2,3,,,Y
13,3,4,5,4,,,
14,3,2,2,2,,,
15,3,,,,4,,
16,3,2,2,2,,,
17,3,4,5,4,,Y,
18,3,4,4,4,,,
19,3,2,2,2,,,Y
20,3,3/4,3/4,3/4,,,Y
21,2,,,,3,,
22,3,2,2,2,,,
23,3,NA,NA,NA,,Y,
24,3,,,,8,,
25,3,NA,NA,NA,,,Y
26,3,3,3,3,,,
27,3,2/3,2/3,2/3,,,
28,3,NA,NA,NA,,Y,
29,3,NA,NA,NA,,Y,
30,4,,,,1,,
31,4,1,1,1,,,
32,4,1,1,1,,,
33,4,,,,2,,
34,4,,,,4,,
35,4,,,,2,,
36,4,4,4,4,,,
37,4,2,2,2,,,
38,4,,,,4,,
39,4,4,5,4,5,,
40,4,NA,NA,NA,,Y,
41,4,4,3,4,,,Y
42,4,5,5,5,,,
43,4,NA,NA,NA,,Y,
44,4,5,5,5,,,
45,4,3/4,3/4,3/4,,,
46,4,3/4,3/4,3/4,,,
47,4,5,5,5,,,
48,4,NA,NA,NA,,N,N
49,4,3/4,3/4,3/4,,,
50,4,NA,NA,NA,,Y,
51,4,3,3,3,,,
52,4,,,,3,,
53,4,3/4,3/4,3/4,,,
54,4,1,1,1,,,Y
55,4,,,,4,,Y
56,4,1,1,1,,,Y
57,4,2,2,2,,,Y
58,4,,,,1,,
59,4,NA,NA,NA,,N,N
60,4,NA,NA,NA,,N,N
61,4,3,3,3,,,
62,4,3/4,3/4,3/4,,,
63,4,NA,NA,NA,,Y,
64,4,1,1,1,,,Y
